tail,head,edge_weight,edge_type
Q9NQ76,P62993,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NQ76,P00519,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NQ76,P19174,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NQ76,P12931,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NQ76,Q2QGD7,1.82E-01,MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q9NQ76,P16333,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NQ76,P46108,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NQ76,P06241,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NVL1,Q13077,6.08E-01,MI:0018 (two hybrid)|MI:1356 (validated two hybrid)|MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q9NVL1,Q96G04,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NVL1,P21673,7.50E-01,MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
Q5QJ38,Q86U86,2.01E-01,MI:0401 (biochemical)
Q5H9L2,P10644,2.84E-01,MI:0034 (display technology)
Q5H9L2,O75618,2.84E-01,MI:0034 (display technology)
Q5H9L2,P43354,7.50E-01,MI:0034 (display technology)|MI:0096 (pull down)|MI:0676 (tandem affinity purification)
Q5H9L2,P20823,2.84E-01,MI:0034 (display technology)
P20930,P20794,1.66E-01,MI:2222 (inference by socio-affinity scoring)
P20930,Q14330,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,P40337,4.14E-01,MI:0006 (anti bait coimmunoprecipitation)
P20930,Q15910,7.11E-01,MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P20930,P23258,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,Q92731,7.46E-01,MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P20930,Q07820,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,O94782,7.11E-01,MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P20930,P57076,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,Q13617,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,P09651,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,P55851,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,P29372,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,Q9Y5K5,4.92E-01,MI:0096 (pull down)
P20930,Q14943,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,Q9GZQ8,3.49E-01,MI:0007 (anti tag coimmunoprecipitation)
P20930,Q8IY92,3.49E-01,MI:0007 (anti tag coimmunoprecipitation)
P20930,Q96IK5,3.11E-01,MI:0004 (affinity chromatography technology)
P20930,Q9Y337,7.50E-01,MI:0435 (protease assay)|MI:0416 (fluorescence microscopy)|MI:0040 (electron microscopy)|MI:0813 (proximity ligation assay)
P20930,Q13043,3.90E-01,MI:0676 (tandem affinity purification)
P20933,P02768,7.50E-01,MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P20933,Q7Z7L7,3.11E-01,MI:0004 (affinity chromatography technology)
P20933,Q9Y3A3,3.11E-01,MI:0004 (affinity chromatography technology)
P20933,P01857,3.11E-01,MI:0004 (affinity chromatography technology)
P20933,Q9NRD1,3.11E-01,MI:0004 (affinity chromatography technology)
P20933,P68871,3.11E-01,MI:0004 (affinity chromatography technology)
P20933,P69905,3.11E-01,MI:0004 (affinity chromatography technology)
Q8TDW4,Q8TDD5,3.11E-01,MI:0004 (affinity chromatography technology)
P20936,P54278,1.48E-01,MI:0397 (two hybrid array)
P20936,P08069,7.50E-01,MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,Q02833,4.74E-01,SPIKE
P20936,P16333,7.50E-01,MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0069 (mass spectrometry studies of complexes)|MI:0047 (far western blotting)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
P20936,O43683,1.48E-01,MI:0397 (two hybrid array)
P20936,Q96QB1,7.50E-01,MI:0018 (two hybrid)|MI:0006 (anti bait coimmunoprecipitation)|MI:0397 (two hybrid array)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)
P20936,Q92574,7.50E-01,MI:0018 (two hybrid)|SPIKE
P20936,Q15303,7.50E-01,MI:0089 (protein array)|SPIKE
P20936,O15524,7.11E-01,MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P20936,P62993,7.50E-01,SPIKE|MI:0004 (affinity chromatography technology)
P20936,P08133,7.50E-01,MI:0047 (far western blotting)|MI:0096 (pull down)|SPIKE
P20936,P43403,7.50E-01,SPIKE|NetPath|MI:0004 (affinity chromatography technology)
P20936,P08581,7.50E-01,MI:0053 (fluorescence polarization spectroscopy)
P20936,Q13283,3.11E-01,MI:0004 (affinity chromatography technology)
P20936,Q07960,4.74E-01,SPIKE
P20936,P17544,2.84E-01,MI:0034 (display technology)
P20936,P63244,7.50E-01,SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,P05067,7.50E-01,MI:0089 (protein array)|MI:0096 (pull down)
P20936,P41240,4.92E-01,MI:0096 (pull down)
P20936,P49023,7.50E-01,MI:0004 (affinity chromatography technology)|SPIKE
P20936,P35968,3.11E-01,MI:0004 (affinity chromatography technology)
P20936,Q99704,7.50E-01,NetPath|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
P20936,P10275,7.50E-01,MI:0053 (fluorescence polarization spectroscopy)
P20936,Q8IZP0,4.41E-01,MI:0008 (array technology)
P20936,P25054,1.48E-01,MI:0397 (two hybrid array)
P20936,P10301,7.50E-01,KEGG inhibition|KEGG activation
P20936,P42858,7.50E-01,NetPath|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
P20936,Q9UM73,4.74E-01,SPIKE
P20936,O95819,3.11E-01,MI:0004 (affinity chromatography technology)
P20936,Q9UHC1,1.48E-01,MI:0397 (two hybrid array)
P20936,Q14289,7.50E-01,MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
P20936,P12931,7.50E-01,SPIKE|MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)
P20936,P27986,4.74E-01,SPIKE
P20936,Q12913,1.48E-01,MI:0397 (two hybrid array)
P20936,Q03135,7.50E-01,MI:0089 (protein array)|MI:0096 (pull down)
P20936,Q96IK5,1.82E-01,MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
P20936,P43146,1.48E-01,MI:0397 (two hybrid array)
P20936,O60496,7.50E-01,SPIKE|NetPath|MI:0004 (affinity chromatography technology)
P20936,P08631,7.50E-01,SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,P36894,1.48E-01,MI:0397 (two hybrid array)
P20936,P07947,3.11E-01,MI:0004 (affinity chromatography technology)
P20936,P07948,7.50E-01,NetPath|SPIKE
P20936,P06400,1.48E-01,MI:0397 (two hybrid array)
P20936,P07332,4.74E-01,SPIKE
P20936,O43924,4.74E-01,SPIKE
P20936,Q8TAM1,2.80E-01,MI:0018 (two hybrid)
P20936,P06213,7.50E-01,MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,P17844,4.74E-01,SPIKE
P20936,Q8TAK6,2.80E-01,MI:0018 (two hybrid)
P20936,O14965,1.48E-01,MI:0397 (two hybrid array)
P20936,Q07889,4.74E-01,SPIKE
P20936,Q07666,7.50E-01,MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
P20936,P19174,7.50E-01,MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,Q9NRY4,7.50E-01,MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,P12956,2.80E-01,MI:0018 (two hybrid)
P20936,O14807,7.50E-01,KEGG inhibition|KEGG activation
P20936,Q13480,7.50E-01,MI:0019 (coimmunoprecipitation)|MI:0053 (fluorescence polarization spectroscopy)
P20936,P10721,7.50E-01,NetPath|MI:0053 (fluorescence polarization spectroscopy)|SPIKE
P20936,P62070,7.50E-01,KEGG inhibition|KEGG activation
P20936,O14543,7.50E-01,MI:0019 (coimmunoprecipitation)|NetPath|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,Q07890,4.74E-01,SPIKE
P20936,P29622,2.80E-01,MI:0018 (two hybrid)
P20936,Q96BD6,3.11E-01,MI:0004 (affinity chromatography technology)
P20936,Q8NAF0,2.80E-01,MI:0018 (two hybrid)
P20936,P04626,7.50E-01,MI:0397 (two hybrid array)|MI:0089 (protein array)|SPIKE
P20936,P21860,7.50E-01,MI:0089 (protein array)|SPIKE
P20936,P04629,3.11E-01,MI:0004 (affinity chromatography technology)
P20936,Q15910,2.80E-01,MI:0018 (two hybrid)
P20936,P41567,2.80E-01,MI:0018 (two hybrid)
P20936,O95999,1.48E-01,MI:0397 (two hybrid array)
P20936,O15117,4.92E-01,MI:0096 (pull down)
P20936,P00519,3.11E-01,MI:0004 (affinity chromatography technology)
P20936,Q9UBY0,4.92E-01,MI:0096 (pull down)
P20936,Q15796,1.48E-01,MI:0397 (two hybrid array)
P20936,Q9NYB0,3.49E-01,MI:0007 (anti tag coimmunoprecipitation)
P20936,P51636,7.50E-01,NetPath|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,P06239,5.69E-01,MI:0415 (enzymatic study)
P20936,Q96EY1,7.50E-01,MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
P20936,Q15831,1.48E-01,MI:0397 (two hybrid array)
P20936,P09619,7.50E-01,MI:0019 (coimmunoprecipitation)|SPIKE|MI:0004 (affinity chromatography technology)|MI:0013 (biophysical)
P20936,P06127,7.50E-01,MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P20936,P04632,7.50E-01,MI:0006 (anti bait coimmunoprecipitation)|MI:0405 (competition binding)
P20936,Q8N726,1.48E-01,MI:0397 (two hybrid array)
P20936,Q8IZ69,2.80E-01,MI:0018 (two hybrid)
P20936,P01112,7.50E-01,MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)|MI:0114 (x-ray crystallography)|KEGG activation|SPIKE|KEGG inhibition|MI:0096 (pull down)
P20936,P01111,7.50E-01,MI:0397 (two hybrid array)|KEGG inhibition|KEGG activation|SPIKE
P20936,P01116,7.50E-01,KEGG inhibition|KEGG activation|SPIKE
P20936,P06241,4.74E-01,SPIKE
Q9NZV5,P40855,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,P16333,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NZV5,Q15717,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,P62993,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NZV5,P13727,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,P00519,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NZV5,Q9Y2A9,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,Q15788,4.74E-01,SPIKE
Q9NZV5,O15466,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,Q9H2A9,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,P79483,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,Q16635,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,P12931,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NZV5,Q9H2G2,4.74E-01,SPIKE
Q9NZV5,Q9HAT2,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,P55157,4.74E-01,SPIKE
Q9NZV5,Q9BT09,3.11E-01,MI:0004 (affinity chromatography technology)
Q9NZV5,P06241,7.50E-01,MI:0081 (peptide array)|SPIKE
Q9NZV5,Q6P5W5,3.11E-01,MI:0004 (affinity chromatography technology)
Q6P1J6,Q09013,4.74E-01,SPIKE
Q6P1J6,Q63HR2,2.80E-01,MI:0018 (two hybrid)
Q6P1J6,Q9NZ94,2.80E-01,MI:0018 (two hybrid)
Q6P1J6,P23297,7.50E-01,MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q6P1J6,Q92569,2.80E-01,MI:0018 (two hybrid)
Q6P1J6,Q8TB24,2.80E-01,MI:0018 (two hybrid)
P30939,P04899,6.26E-01,KEGG activation
P30939,P59768,6.26E-01,KEGG activation
P30939,P62879,6.26E-01,KEGG activation
P30939,P61952,6.26E-01,KEGG activation
P30939,P50151,6.26E-01,KEGG activation
P30939,O14775,6.26E-01,KEGG activation
P30939,P62873,6.26E-01,KEGG activation
P30939,P09471,6.26E-01,KEGG activation
P30939,P08754,6.26E-01,KEGG activation
P30939,Q9HAV0,6.26E-01,KEGG activation
P30939,Q9P2W3,6.26E-01,KEGG activation
P30939,O14610,6.26E-01,KEGG activation
P30939,P63096,6.26E-01,KEGG activation
P30939,P63211,6.26E-01,KEGG activation
P30939,P16520,6.26E-01,KEGG activation
P30939,Q9UK08,6.26E-01,KEGG activation
P30939,P63215,6.26E-01,KEGG activation
P30939,P63218,6.26E-01,KEGG activation
P30939,O60262,6.26E-01,KEGG activation
P30939,Q9UBI6,6.26E-01,KEGG activation
P30939,P50150,6.26E-01,KEGG activation
P40617,Q68D86,6.08E-01,MI:0018 (two hybrid)|MI:1356 (validated two hybrid)|MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
P40617,O60447,1.82E-01,MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
P40617,P08047,3.49E-01,MI:0007 (anti tag coimmunoprecipitation)
P40617,Q92556,7.50E-01,MI:0428 (imaging technique)|MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)
P40617,Q96JJ3,3.11E-01,MI:0004 (affinity chromatography technology)
P40617,P18146,3.49E-01,MI:0007 (anti tag coimmunoprecipitation)
P40617,P63000,6.66E-01,MI:0428 (imaging technique)
P40617,Q96BJ8,3.11E-01,MI:0004 (affinity chromatography technology)
P40617,Q14185,3.11E-01,MI:0004 (affinity chromatography technology)
P40617,P52292,7.50E-01,MI:0018 (two hybrid)|MI:0096 (pull down)
P40617,Q2TAC2,6.08E-01,MI:0018 (two hybrid)|MI:1356 (validated two hybrid)|MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
P40617,Q08379,6.08E-01,MI:0018 (two hybrid)|MI:1356 (validated two hybrid)|MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
P40617,P08727,1.82E-01,MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
P40617,Q9H0A9,6.08E-01,MI:0018 (two hybrid)|MI:1356 (validated two hybrid)|MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q8NA03,P05067,4.92E-01,MI:0096 (pull down)
Q8NA03,Q5JQC9,2.80E-01,MI:0018 (two hybrid)
Q8NA03,P35232,2.84E-01,MI:0034 (display technology)
P30613,Q02241,3.11E-01,MI:0004 (affinity chromatography technology)
P30613,P04083,4.14E-01,MI:0006 (anti bait coimmunoprecipitation)
P30613,Q5TFE4,3.11E-01,MI:0004 (affinity chromatography technology)
P30613,Q9NZC7,3.11E-01,MI:0004 (affinity chromatography technology)
P30613,P49023,3.11E-01,MI:0004 (affinity chromatography technology)
P30613,Q96G74,7.11E-01,MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P30613,Q9Y6I4,7.11E-01,MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P30613,Q9H4B6,2.80E-01,MI:0018 (two hybrid)
P30613,P10275,3.49E-01,MI:0007 (anti tag coimmunoprecipitation)
P30613,Q6UXB4,2.80E-01,MI:0018 (two hybrid)
P30613,Q15052,3.11E-01,MI:0004 (affinity chromatography technology)
P30613,P12004,4.92E-01,MI:0096 (pull down)
P30613,P22234,2.01E-01,MI:0401 (biochemical)
P30613,Q05639,2.01E-01,MI:0401 (biochemical)
P30613,Q13153,3.11E-01,MI:0004 (affinity chromatography technology)
P30613,Q5W0Q7,7.11E-01,MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
O95343,O95677,4.74E-01,SPIKE
O95343,P58304,4.74E-01,SPIKE
O95343,Q5BKZ1,4.74E-01,SPIKE
O95343,P62633,4.74E-01,SPIKE
O95343,Q9HD42,4.74E-01,SPIKE
O95343,Q93098,4.74E-01,SPIKE
O95343,Q9UIL1,4.74E-01,SPIKE
O95343,P26367,7.50E-01,MI:0096 (pull down)|SPIKE
O95343,Q92570,7.50E-01,MI:0018 (two hybrid)|SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
O95343,Q08117,7.50E-01,MI:0018 (two hybrid)|MI:0096 (pull down)|SPIKE
O95343,P48431,4.74E-01,SPIKE
O95343,Q04724,7.50E-01,MI:0018 (two hybrid)|MI:0096 (pull down)|SPIKE
O95343,P04628,4.74E-01,SPIKE
O95343,Q9Y2V3,4.74E-01,SPIKE
O95343,O95475,4.74E-01,SPIKE
Q15572,Q96JC9,3.11E-01,MI:0004 (affinity chromatography technology)
Q15572,Q01105,7.50E-01,MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0400 (affinity technology)|SPIKE
Q15572,Q9Y2S0,4.74E-01,SPIKE
Q15572,P50914,3.11E-01,MI:0004 (affinity chromatography technology)
Q15572,P17480,7.50E-01,MI:0096 (pull down)|SPIKE
Q15572,P02766,2.80E-01,MI:0018 (two hybrid)
Q15572,O15446,3.11E-01,MI:0004 (affinity chromatography technology)
Q15572,Q15573,7.50E-01,MI:0096 (pull down)|SPIKE
Q15572,Q9H9Y6,4.74E-01,SPIKE
Q15572,Q16637,2.80E-01,MI:0018 (two hybrid)
Q15572,Q9NYV6,7.50E-01,MI:0096 (pull down)|SPIKE
Q15572,O15160,4.74E-01,SPIKE
Q15572,P04183,2.80E-01,MI:0018 (two hybrid)
Q15572,Q92890,2.80E-01,MI:0018 (two hybrid)
Q15572,P04637,7.50E-01,MI:0096 (pull down)|SPIKE
Q15572,Q9GZS1,4.74E-01,SPIKE
Q15572,P16104,2.80E-01,MI:0018 (two hybrid)
Q15572,Q53T94,7.50E-01,MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|SPIKE
Q15572,O95602,7.50E-01,SPIKE|MI:0004 (affinity chromatography technology)
Q15572,Q16514,7.50E-01,MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
Q15572,Q9H5J8,7.50E-01,MI:0047 (far western blotting)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0401 (biochemical)
